Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,627012.487,683842.912,683337.67,654966.823,675440.279,684397.272,658113.374,668796.199,675674.726,699639.151,734269.921,764049.222,789865.89,814132.738,845472.31,780739.76,849423.27,921089.1,967724.419,1003185.409,1061054.125,1066663.977,1048741.185,1048403.59,1073840.81,1099376.794,1150701.95,1184658.428,1198144.35,1138727.918,1226813.687,1283448.197,1339994.611,1365154.229,1402291.945,1445183.5050000001,1485467.443,1556925.971,1608137.236,1577636.5300000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,170037.05,182319.675,184550.907,181925.841,188116.892,192987.883,191185.122,196024.863,199623.877,205670.986,214055.509,220604.343,225299.861,225202.131,240370.264,235076.181,245257.23,271580.059,273828.927,290304.718,295434.825,288426.891,284937.993,294468.306,301021.642,306026.395,320451.426,328272.19,334657.914,317003.042,329767.26,343275.664,352030.387,359465.987,379655.442,386038.362,402111.981,414856.586,424359.973,424974.326
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,94761.085,102352.407,102342.388,98322.863,101540.739,103829.047,101000.251,103523.722,105304.879,108944.996,114155.974,117824.624,121265.965,125976.699,129202.366,114284.733,121778.69,129847.066,140497.352,147510.638,150129.836,155324.353,151225.17,158055.834,159734.875,171279.471,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.143,185662.448,187472.397,194412.07800000004,203238.504,201316.45400000003,201083.49999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,53013.261,57468.978,57691.591,56284.613,58025.224,59071.768,57563.038,58681.246,59353.06,61366.541,64805.681,67813.359,70780.361,73131.897,75590.71,66390.735,68038.843,69126.635,75088.907,77290.972,78547.341,80899.113,78930.714,76105.196,86879.422,90269.847,92165.697,91675.276,98292.89,93038.497,97786.134,100704.16,100800.218,103627.459,108986.73199999999,114062.99899999998,119473.24300000002,121000.11400000002,120639.992,120945.60200000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,381010.997,423892.619,425114.881,404003.994,421664.068,431473.521,413147.457,423751.743,431007.153,450380.777,477816.594,500770.535,522743.051,544561.159,576754.045,536276.359,570937.657,622671.299,669903.994,709152.631,756722.157,754129.608,772298.859,803888.528,849841.554,885438.787,946837.916,1004636.521,1020366.768,952725.778,1025184.258,1069812.268,1113817.766,1124999.893,1161168.6690000002,1228082.513,1257648.4210000003,1306549.097,1353169.9910000002,1373592.856
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,139873.636,148792.319,149098.544,145958.282,149547.695,151914.204,149121.114,151544.003,152896.542,156534.122,162675.298,167527.989,171905.747,175814.831,189696.706,173883.884,180582.64,184085.703,188679.539,193874.658,200660.573,201968.347,202435.632,202963.936,210757.192,213677.217,218023.575,219815.363,226633.787,224510.705,228089.144,234955.838,239680.171,245515.976,250239.106,260612.90700000006,256580.339,250518.62,260740.41700000002,252621.56999999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,212517.275,231428.648,231617.036,220757.676,228979.795,235084.893,227190.53,233572.129,237804.798,246392.092,258674.688,265913.098,272619.198,279617.549,294136.914,269044.699,294957.013,320869.124,346669.894,374452.804,387659.658,393378.558,386066.756,395907.258,405907.943,428179.294,447201.403,465818.722,468969.471,432578.676,469967.84,493353.224,524226.058,519256.535,526200.669,540604.128,555309.088,589080.273,603843.688,596318.409
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,99632.046,111991.12,111694.868,103658.274,108566.695,111798.755,105476.183,108649.224,110537.731,115676.399,123821.206,130464.03,138542.851,144989.578,155797.176,146113.687,161164.075,180672.696,198181.505,204774.075,213806.309,212920.049,211977.015,212106.713,227917.275,243311.19,258448.271,271622.051,278348.405,270311.398,287403.169,308865.228,318294.372,319989.728,342666.454,362418.9110000001,377947.864,395109.80799999996,406744.73,403161.492
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,66743.109,72711.611,72306.231,69600.571,71865.703,72839.614,70962.035,72840.807,74748.442,78704.239,83809.29,88937.081,94163.314,98973.809,102795.432,98446.759,107832.47,118424.158,127273.467,127122.692,132052.64,138808.533,138511.957,144233.02,156941.599,163681.664,174364.522,192904.582,203018.581,185671.746,195148.828,206053.849,215709.871,225272.667,233252.369,244081.49599999998,261497.59800000006,272211.72599999997,286533.451,290271.733
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,128925.727,141415.626,140984.461,133967.308,138617.202,141215.576,135400.478,138376.24,140315.132,145901.189,154325.366,161068.506,166945.209,172437.262,184720.675,165745.098,178316.552,189892.922,200417.267,205890.044,216125.564,214292.424,214907.08,224280.267,237464.465,247240.388,258649.446,264315.631,270024.005,255845.961,269397.22,283881.746,297293.962,307896.47,316716.343,329359.358,342065.043,354677.904,369840.93999999994,368700.80299999996
