Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
"Valores constantes|Índice de volumen físico base 2013=100|D.21-D.31---Impuestos sobre los productos, netos",45.014369501805,49.285473585113,49.281736077287,47.131583455082,48.774925792615,49.691200333377,47.848488104963,48.839117414687,49.46384806478,51.271728995815,53.942182198998,56.120150786292,58.088892371157,62.197185022316,67.026665399851,60.929948300687,64.619252409461,69.395243104209,72.338376475862,75.4229493914,76.96880592005,77.634134159587,78.134618400632,79.205689304793,82.438524366732,84.995035979111,91.388818842463,92.87616904102,96.257894078814,90.053720280889,93.826784623782,97.631421350116,99.080304702717,100,106.197134354714,112.351314395712,120.505583842524,124.880693611232,129.029574554159,128.826984831094
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,47.03378196436,51.496494138223,51.492588961173,49.245977296697,50.96304237731,51.920422455025,49.99504333668,51.030113846834,51.682870718965,53.571855908048,56.362109717248,58.637785247278,60.694847607996,62.463246685606,65.478360373491,61.435227270545,65.614147621501,70.092387967911,73.737884654271,75.723970349237,79.555104238913,79.193774662596,79.140662561913,80.287734937336,83.430316205469,85.32919682777,89.060425214673,91.125811110791,92.073813481863,87.252308864235,91.751898390219,95.097859266892,98.64711075806,100,102.713982346232,105.988726322459,108.565895511967,110.785850011326,113.160485812438,112.959619625588
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,60.17967245333,64.848637810355,63.383713844162,64.652173373592,65.563755496741,67.547848854776,66.647900776883,67.483505473614,65.198776595361,64.278718544021,68.946914091663,70.492445301505,68.92172686029,72.365980095932,72.448879934882,73.470653039126,76.353409697837,76.338875704492,78.679006392054,79.744186919881,80.437435404053,84.742825445534,83.974607157297,87.191831411502,89.247519978232,85.994085714805,91.393753238966,95.258719144798,95.216194271562,93.19843462227,95.522330806971,91.927252476889,97.770597183222,100,103.749579836844,105.896136444922,109.621063982773,113.320797438671,116.272069285616,115.910448929678
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,56.483519718436,62.73259881804,62.054294287363,56.083205689835,58.5912647949,60.684085601833,56.729403765419,58.70448173415,59.831612529559,62.22730982225,66.129754323931,68.094223192252,70.70199918209,71.045674713946,74.992132571428,66.830774515827,74.730521005335,80.629075631844,85.445030608184,86.758515131928,90.573168298373,88.595525604714,87.263804995554,88.799321367948,92.220782931037,94.203774868447,98.093989615197,99.002865653567,97.963886441697,90.640375994364,94.751942457167,97.45159709624,100.223660564402,100,102.572992550428,103.702761470394,104.031010390757,103.771675543802,104.226186692621,102.334758495744
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,41.43214287318,44.952982120327,45.37570501164,44.890203246462,46.236277349978,46.548985239983,45.628861114403,46.184127546083,46.740467763065,48.509580017631,50.623558374638,53.098978366059,55.055283853859,57.480345855196,60.160541870556,58.004180890045,60.309918453107,64.278488127619,67.380846389332,69.764879301875,73.765785263271,74.007370689215,74.657561810753,75.495793265835,78.548816339505,80.668500790184,84.231144693028,86.807011602492,88.841757356502,85.180595233098,89.994227466221,94.0336568364,97.870238105975,100,102.734289537247,107.185213949416,110.875846901344,114.312307895704,117.658334135479,118.347058237102
Valores constantes|Variación porcentual anual|B.1bP---Producto interno bruto<C1>,NA,9.4883124221,-0.007583384369,-4.362980598497,3.486711356919,1.878577161005,-3.708327139315,2.070346254679,1.279160142969,3.654954074414,5.208432225788,4.037598205126,3.508083311207,3.069021475144,4.941080666336,-6.291230803533,6.773258654437,6.846852318665,5.16392517672,2.753554213902,4.942453748335,-0.404390126662,-0.039844465938,1.446382551333,3.920590810288,2.307807065917,4.495077894214,2.291445714298,1.143584587194,-5.285744136818,5.118118143212,3.663007929501,3.642322679414,1.354091961517,2.849773254907,3.293151528334,2.630532424551,2.113129135497,2.194994725227,-0.176599456272
"Valores constantes|Variación porcentual anual|D.21-D.31---Impuestos sobre los productos, netos",NA,9.488312577914,-0.007583386249,-4.362980676721,3.486711493789,1.878577006264,-3.708327060025,2.070346104877,1.27916040085,3.65495407609,5.208432123288,4.037598218142,3.50808320591,7.072423803348,7.764789316111,-9.095957650277,6.054993006997,7.39097175635,4.241116883521,4.264089223191,2.049583768764,0.864412837882,0.644670345671,1.370801990315,4.081569253818,3.101112777088,7.522536804294,1.627496905415,3.641111678821,-6.445366229231,4.189792860443,4.054958018214,1.484033861809,0.928232205222,6.197134354714,5.795052831127,7.257831820367,3.630628249082,3.322275704076,-0.157010300751
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Total<C1>,NA,9.488312416051,-0.007583384296,-4.36298059546,3.486711351605,1.878577167012,-3.708327142394,2.070346260495,1.279160132957,3.654954074349,5.208432229768,4.037598204621,3.508083315295,2.913590110699,4.827020444616,-6.1747622877,6.802156574685,6.825113955977,5.200987998909,2.693440019711,5.059341014485,-0.454187798224,-0.067066004758,1.449409618634,3.914148618822,2.276007941316,4.372745233304,2.319083803091,1.040322560114,-5.236564485925,5.156986198479,3.646748389273,3.732209661216,1.371443351502,2.713982346232,3.188216347399,2.431550296838,2.04479914147,2.143446839889,-0.177505588994
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,7.758376153753,-2.25898957273,2.001238886931,1.409979085902,3.026204559215,-1.332311973144,1.253759963917,-3.385610842559,-1.411158459383,7.262427835185,2.241624922891,-2.228208192378,4.997340305508,0.11455636867,1.410336647251,3.923684545414,-0.019035159533,3.065450815153,1.353830680727,0.869340463485,5.352470550378,-0.906529000182,3.831187025596,2.357661874342,-3.645405793036,6.279114987127,4.228916932348,-0.044641449745,-2.119134948344,2.493492722404,-3.763599882573,6.356487928105,2.28023851854,3.749579836844,2.068978603531,3.517529215797,3.375020567653,2.604351463854,-0.311012230332
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,11.063544075786,-1.081263240256,-9.622361620739,4.472032356595,3.571899009619,-6.516835175471,3.481577167455,1.920008084755,4.004066063751,6.27127303563,2.970627803482,3.829658181834,0.486090260291,5.554817901825,-10.882952352138,11.820522127328,7.893099830105,5.972975553298,1.537227518552,4.396863132852,-2.183475228717,-1.503146575485,1.759625737696,3.853026701535,2.150265779996,4.129574162164,0.926535909014,-1.049443574194,-7.475724691356,4.536131296563,2.849181313928,2.84455416921,-0.223161440266,2.572992550428,1.101429227981,0.316528620558,-0.249286098424,0.43799152942,-1.814734143978
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,8.497844916986,0.940366737364,-1.069959717549,2.99859213407,0.676325837475,-1.97667923551,1.216919331577,1.204613460387,3.784969084038,4.357857471119,4.889857747853,3.684262010303,4.404776129706,4.662804260281,-3.584344345087,3.97512304748,6.580293550882,4.826433153739,3.538146283839,5.734842518803,0.327503360917,0.878549143799,1.122768323465,4.043964493385,2.698556833138,4.41640029001,3.058093201573,2.343987791363,-4.120992461588,5.651090157272,4.488542747584,4.080008582724,2.176107808912,2.734289537247,4.332462347496,3.443229542528,3.099377448199,2.927091842838,0.585359385447
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Total<C1>,NA,9.488312416051,-0.007583384296,-4.36298059546,3.486711351605,1.878577167012,-3.708327142394,2.070346260495,1.279160132957,3.654954074349,5.208432229768,4.037598204621,3.508083315295,2.913590110699,4.827020444616,-6.1747622877,6.802156574685,6.825113955977,5.200987998909,2.693440019711,5.059341014485,-0.454187798224,-0.067066004758,1.449409618634,3.914148618822,2.276007941316,4.372745233304,2.319083803091,1.040322560114,-5.236564485925,5.156986198479,3.646748389273,3.732209661216,1.371443351502,2.713982346232,3.188216347399,2.431550296838,2.04479914147,2.143446839889,-0.177505588994
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades primarias<C1>,NA,0.32422164469,-0.092911329635,0.080456871624,0.060458350457,0.12715633777,-0.056612259768,0.054589004912,-0.146230979275,-0.058143323978,0.284605705763,0.089561589566,-0.08748871515,0.185342281301,0.00433471339,0.050966865554,0.15325751143,-0.00072346699,0.109043682654,0.047180636824,0.029901075283,0.176756627779,-0.031682894618,0.132773959538,0.083625623558,-0.127364795042,0.20668102962,0.141739911555,-0.001524168126,-0.071575527339,0.086990344234,-0.127974827566,0.200688284444,0.07381343737,0.122465528112,0.068256502787,0.11478612896,0.11130335934,0.087007396852,-0.010437327733
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,NA,4.404245879507,-0.436628913068,-3.84391896478,1.688233223523,1.361263294711,-2.524868522816,1.309551950655,0.732172165929,1.536564339703,2.41471277527,1.155376011063,1.474205951431,0.18769911479,2.094345615183,-4.131712291918,4.262467902981,2.979981381942,2.277597609443,0.590472562026,1.669887127873,-0.824034161486,-0.557426374745,0.643161746651,1.412628278817,0.787884388369,1.511267539916,0.338287013403,-0.377946987037,-2.636626488236,1.562053208507,0.975345729867,0.966268596137,-0.075157181135,0.852911490195,0.364607410914,0.10266184606,-0.079183171857,0.135995858442,-0.554064713327
Valores constantes|Contribución a la variación de la Entidad|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,NA,4.759844891854,0.521956858407,-0.599518502304,1.738019777626,0.390157534531,-1.126846359809,0.706205304928,0.693218946303,2.176533058624,2.509113748734,2.792660603991,2.121366079014,2.540548714608,2.728340116043,-2.094016861335,2.386431160274,3.845856041025,2.814346706812,2.055786820862,3.35955281133,0.193089735483,0.522043264604,0.673473912445,2.417894716447,1.615488347989,2.654796663768,1.839056878134,1.419793715277,-2.528362470349,3.507942645739,2.799377486972,2.565252780635,1.372787095268,1.738605327925,2.755352433698,2.214102321817,2.012678953987,1.920443584596,0.386996452067
