Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,136839.885,148783.187,151342.42,151116.499,156442.929,158601.827,156946.492,159791.834,162603.873,169120.249,176785.528,185473.619,192520.146,201289.132,210342.61,204432.376,212762.827,225670.627,236485.444,241537.769,254458.647,257215.156,264302.241,267223.13,274369.971,280677.426,293331.41,303434.949,313522.625,301677.125,325179.979,343566.684,357114.915,364728.37,370878.23999999993,385003.8170000001,395191.5819999999,416199.41,433371.104,431481.18800000014
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,112398.149,115962.062,117166.864,117652.724,119415.196,120367.626,120382.787,121396.765,122347.774,124072.385,125973.985,128016.529,129610.719,129728.217,134537.983,129651.09,132643.594,136481.641,141612.97,145648.928,149438.72,148022.33,145571.214,143730.23,151370.588,152986.095,154350.651,156257.38,156328.657,153015.512,160852.753,164149.904,166954.272,165911.121,169902.24899999998,175727.617,177843.48300000004,179295.82300000003,183895.697,184048.38499999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,62377.851,66429.769,67670.64,68063.774,70064.402,71103.594,70999.977,72183.166,73325.309,75505.256,77974.716,80693.429,82891.869,84841.799,86176.896,80516.723,85132.447,90747.394,97906.079,100022.602,104838.139,104111.051,104605.125,104441.64,107270.068,109123.119,114377.97,116862.565,122019.188,115612.972,125315.809,132708.14,137558.137,144609.866,151219.08000000002,160142.22,167981.706,172857.04899999997,179138.133,177843.98400000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,281564.424,304117.459,308850.982,308235.74,317963.609,321616.384,317996.921,322707.25,327229.085,338542.222,351845.502,366893.89,378700.037,393382.722,408578.781,385209.412,400746.075,426266.236,446477.139,468524.733,488911.554,490581.678,491644.5,493410.708,512890.712,524995.381,546625.498,562504.912,578115.373,555360.313,586324.661,610948.941,636438.292,650448.247,669900.9949999999,687181.5460000001,729482.9920000002,746793.0889999999,774461.5619999999,782332.713
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,333762.882,366711.06,369350.918,363296.565,375633.9,378066.45,368589.162,374059.691,379839.512,397915.886,420048.911,445835.731,466785.55,492172.51,517689.708,493741.153,524103.489,563529.218,596158.172,616584.862,659492.238,678497.099,681682.801,695778.149,716454.509,741031.736,782660.198,810448.908,829063.222,798576.513,849988.751,895664.115,943191.836,962834.05,1004490.529,1046205.3640000001,1082651.873,1127818.308,1171825.611,1170173.174
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,112032.478,117969.248,120436.782,121887.607,125380.671,127718.167,128677.762,131282.034,133880.559,137814.763,142155.816,146855.454,150960.692,153933.094,162404.505,160092.518,163724.227,179763.973,182882.359,189456.681,194294.258,192840.996,192931.377,198744.074,202680.966,208351.499,215989.418,218394.768,222950.59,220248.118,229358.199,238204.815,246500.488,251509.719,262744.97099999996,272454.40300000005,282107.256,293154.818,300965.56899999996,303111.716
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,56843.714,59881.973,60457.488,60363.019,61795.06,62461.442,62219.07,63210.228,64265.079,66317.857,68711.116,71408.955,73759.176,75764.047,77638.081,73209.049,75401.868,80080.073,85254.95,88907.3,94236.169,96369.184,96718.483,99742.942,102460.888,104776.996,107955.89,107817.38,107475.921,102009.597,106198.744,110930.507,115626.195,120292.094,121085.00499999999,126462.02799999999,131170.49100000004,133259.865,134004.52000000002,132865.81499999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,38419.783,41054.605,41553.332,41416.761,42497.685,42864.16,42408.848,42933.178,43473.633,44783.08,46308.802,47996.387,49363.071,50414.475,51494.361,48324.161,49570.327,50975.069,55483.088,56433.868,57715.114,58572.99,57719.18,56953.884,59009.161,61137.756,64039.817,63409.168,67098.98,65424.504,70114.765,72159.414,71795.477,74702.831,77189.26099999998,82592.21099999998,86536.293,89796.81900000002,90853.832,90262.244
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,214134.056,236558.19,239150.285,236043.595,245069.625,247600.953,242274.84,246859.337,251683.459,264729.2,280553.975,298905.532,314099.387,333601.288,352179.114,339128.907,347929.109,374880.655,403508.927,426844.492,458945.539,459091.213,474541.579,492409.238,519489.092,535785.505,571085.553,604354.309,622289.942,583628.582,624634.449,661317.363,696085.317,710781.231,735342.8400000001,772645.095,808969.3540000003,845575.7390000002,873435.4120000001,886200.8029999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,97126.07,101589.287,102354.539,102037.84,103838.144,104412.464,103551.939,104372.075,105167.329,107292.29,109787.966,112599.816,114774.678,116654.406,119478.296,119064.417,120833.605,123210.081,128542.45,131723.351,135255.375,136434.858,135023.253,136310.897,142493.521,148075.326,150847.113,152662.561,155261.693,150205.88,155252.415,159313.507,161978.236,162932.33,165503.818,174162.16900000005,175370.842,179970.96999999997,182459.753,182393.38099999994
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,128336.083,135496.058,137656.871,138439.864,142331.774,144649.547,145081.548,148040.718,151120.73,156269.988,162136.49,168650.545,174442.102,179459.459,186494.198,177092.313,188903.484,206979.016,218486.435,229708.065,243887.247,246618.336,245089.272,248836.964,257020.733,261622.059,271945.716,281166.376,283979.7,272370.081,290320.184,304072.844,315729.435,324318.661,330723.73400000005,338105.336,349199.23399999994,358389.07200000004,369156.80799999996,364431.567
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,48535.974,53055.194,54146.909,54259.035,56494.165,57612.36,57372.019,58875.019,60435.093,63453.051,66979.807,70972.574,74437.806,78398.229,84213.442,82767.839,88050.602,96870.462,104090.274,109158.355,117366.053,117505.07,122071.613,122835.915,131454.131,140760.977,151697.028,161216.398,169221.713,164576.423,172610.528,185430.585,189792.277,192482.337,199927.245,210234.41000000006,217093.92500000002,223627.11299999998,232144.836,231539.94
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,54325.217,58731.567,58582.884,57373.699,59060.687,59531.245,58667.083,60071.571,61762.275,65133.257,69052.164,73354.292,77145.861,80827.085,84919.442,83766.475,89738.432,100743.508,107814.069,107490.336,112466.283,117771.282,119166.835,124621.692,134883.072,136709.846,144544.666,163452.568,172342.484,157560.953,170027.715,179983.255,190226.884,197815.693,203268.287,215477.76499999998,226621.09000000005,240339.648,252570.441,255428.73200000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,73420.048,79532.391,80256.164,79420.921,81806.165,82417.377,80907.197,82000.527,83119.281,86362.608,90279.148,94795.212,98424.372,103113.832,108223.3,101893.737,106246.838,113525.616,119604.729,122965.634,129432.422,131503.441,133334.595,138343.544,144914.322,149617.573,156552.696,161648.718,163650.975,155225.887,163253.845,171010.555,175291.922,179189.542,183465.855,189780.84900000002,195572.757,200418.83099999998,208445.50199999998,209900.127
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,116336.593,123807.531,125817.454,126182.623,129675.659,131302.782,130709.931,132621.91,134456.353,138314.737,142741.654,147662.064,151576.203,156501.209,160314.282,154410.314,157895.225,160652.385,164876.948,166851.93,176864.586,182174.346,183448.373,184390.932,188220.658,194207.023,198092.613,199198.663,203260.042,194841.697,206327.547,215622.628,224846.316,229060.947,233596.12199999994,243980.13099999994,255232.171,263108.186,267033.693,274090.115
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,88937.312,95265.735,96435.611,96172.936,99103.177,100398.168,99733.893,101665.271,103709.545,107879.842,112780.079,118340.358,123141.801,128850.515,136000.632,133561.906,138793.66,149759.155,163740.295,170044.492,183980.919,186744.938,180044.409,187003.384,194164.791,200180.338,205875.526,209745.027,214921.319,208424.201,223402.069,235491.995,245955.298,251809.355,257780.83899999998,267405.94,277903.96599999996,278822.826,287370.748,285284.287
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,71791.591,77914.355,78271.297,76936.356,78964.627,79072.242,76903.203,77431.651,77940.042,80621.39,83944.276,87825.935,90720.567,94850.727,99170.888,98063.449,99256.009,106670.255,108169.162,110969.67,117298.426,117921.856,118538.456,120553.055,125114.947,130816.336,136694.628,139917.087,144228.562,138456.259,144408.78,151956.52,159370.618,164763.869,167104.59599999996,172826.25199999998,171840.00499999998,170845.29800000004,169911.83000000002,173315.738
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,103325.043,109190.86,110854.728,111403.616,114654.973,116627.455,117060.323,119703.269,122514.14,127145.033,132450.073,138371.22,143745.398,149727.209,159445.611,153342.319,159505.579,171154.254,182193.829,189956.355,203367.627,203889.629,212064.898,216979.33,223669.847,231148.391,238381.059,244437.907,246818.097,233427.278,245444.492,258050.171,267017.73,273873.16,275877.085,287691.648,298367.63500000007,303890.28299999994,310054.99499999994,313353.64400000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,20697.307,22210.411,22465.321,22365.317,23032.837,23295.785,23074.856,23476.162,23896.447,24825.064,25922.69,27171.887,28227.748,29492.797,31352.914,31298.347,33558.81,37202.626,38262.706,39456.596,41831.523,42279.872,42675.396,43430.521,44494.804,45216.301,48164.469,48619.749,50729.545,49359.815,51074.661,53233.006,54426.384,56090.108,56453.263000000006,58405.326,59235.995,60032.05100000001,60571.253000000004,60742.60199999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,232893.998,247617.206,250312.821,249428.206,255461.991,257434.001,254590.714,257280.579,259845.376,266863.266,275148.737,284531.737,291762.958,300085.328,315702.252,312119.543,316323.523,328022.568,338009.369,343822.539,356559.331,358235.414,358684.341,362805.677,376075.702,383949.843,399951.109,410356.318,413231.409,401594.406,423656.439,439012.118,455808.249,456008.294,466911.4759999999,478565.6759999999,480287.93,491640.023,500057.7109999999,508770.8989999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,60990.746,65252.297,66234.019,66263.032,68242.271,69138.009,68740.014,69916.606,71102.542,73570.577,76439.46,79663.485,82341.929,85041.641,90700.582,87185.157,90946.107,96333.23,100743.147,102934.489,109988.083,112502.673,113844.464,113260.473,118423.481,123281.735,127040.911,129961.07,133675.034,128724.211,134708.522,139940.239,147128.394,152587.116,155783.47799999997,161502.61399999994,168417.11399999997,174377.436,181974.11200000002,184208.981
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,35426.011,37414.882,38046.453,38284.4,39323.579,39915.469,39976.516,40681.841,41389.951,42618.2,44005.441,45532.265,46832.309,48258.444,49526.761,51983.567,49429.33,51434.318,54712.58,54451.92,56540.697,56979.903,59071.227,60405.283,61813.621,63934.417,66517.653,68470.549,69580.863,68492.47,72570.179,75164.109,77599.073,79282.105,81867.358,84689.56300000001,86844.703,89191.059,90435.16199999998,90874.17900000003
